,phrase,sentence_id,sentiment,length,word_list,word_counter,num_unique_words,guess,guess-sentiment
15,"The film makes strong arguments regarding the social status of America 's indigenous people , but really only exists to try to eke out an emotional tug of the heart , one which it fails to get .",6274,3,194,"['the', 'film', 'makes', 'strong', 'arguments', 'regarding', 'the', 'social', 'status', 'america', 'indigenous', 'people', 'but', 'really', 'only', 'exists', 'try', 'eke', 'out', 'emotional', 'tug', 'the', 'heart', 'one', 'which', 'fails', 'get']","Counter({'the': 3, 'heart': 1, 'exists': 1, 'people': 1, 'one': 1, 'film': 1, 'out': 1, 'fails': 1, 'strong': 1, 'only': 1, 'arguments': 1, 'which': 1, 'really': 1, 'status': 1, 'get': 1, 'but': 1, 'indigenous': 1, 'america': 1, 'tug': 1, 'regarding': 1, 'eke': 1, 'try': 1, 'social': 1, 'emotional': 1, 'makes': 1})",25,3.0,0.0
16,"The actors pull out all the stops in nearly every scene , but to diminishing effect .",3685,3,85,"['the', 'actors', 'pull', 'out', 'all', 'the', 'stops', 'nearly', 'every', 'scene', 'but', 'diminishing', 'effect']","Counter({'the': 2, 'pull': 1, 'all': 1, 'but': 1, 'diminishing': 1, 'scene': 1, 'stops': 1, 'effect': 1, 'actors': 1, 'nearly': 1, 'every': 1, 'out': 1})",12,4.0,1.0
17,"Polished , well-structured film .",4361,4,33,"['polished', 'wellstructured', 'film']","Counter({'polished': 1, 'film': 1, 'wellstructured': 1})",3,4.0,0.0
18,"An achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses .",6482,3,91,"['achingly', 'enthralling', 'premise', 'the', 'film', 'hindered', 'uneven', 'dialogue', 'and', 'plot', 'lapses']","Counter({'and': 1, 'plot': 1, 'dialogue': 1, 'uneven': 1, 'achingly': 1, 'hindered': 1, 'premise': 1, 'lapses': 1, 'enthralling': 1, 'the': 1, 'film': 1})",11,3.0,0.0
19,Upper West Sidey exercise in narcissism and self-congratulation disguised as a tribute .,2185,3,88,"['upper', 'west', 'sidey', 'exercise', 'narcissism', 'and', 'selfcongratulation', 'disguised', 'tribute']","Counter({'narcissism': 1, 'upper': 1, 'and': 1, 'disguised': 1, 'west': 1, 'selfcongratulation': 1, 'sidey': 1, 'tribute': 1, 'exercise': 1})",9,2.0,-1.0
20,even after 90 minutes of playing opposite each other Bullock and Grant still look ill at ease sharing the same scene .,4085,3,118,"['even', 'after', 'minutes', 'playing', 'opposite', 'each', 'other', 'bullock', 'and', 'grant', 'still', 'look', 'ill', 'ease', 'sharing', 'the', 'same', 'scene']","Counter({'even': 1, 'and': 1, 'ease': 1, 'grant': 1, 'opposite': 1, 'ill': 1, 'after': 1, 'scene': 1, 'same': 1, 'bullock': 1, 'sharing': 1, 'other': 1, 'each': 1, 'the': 1, 'still': 1, 'minutes': 1, 'playing': 1, 'look': 1})",18,4.0,1.0
21,"Although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success .",7431,3,173,"['although', 'pastry', 'violated', 'this', 'nasty', 'comedy', 'pokes', 'fun', 'the', 'same', 'easy', 'targets', 'other', 'rowdy', 'raunchfests', 'farts', 'boobs', 'unmentionables', 'without', 'much', 'success']","Counter({'much': 1, 'pokes': 1, 'boobs': 1, 'easy': 1, 'success': 1, 'raunchfests': 1, 'this': 1, 'farts': 1, 'violated': 1, 'rowdy': 1, 'same': 1, 'targets': 1, 'unmentionables': 1, 'other': 1, 'pastry': 1, 'although': 1, 'fun': 1, 'nasty': 1, 'comedy': 1, 'without': 1, 'the': 1})",21,4.0,1.0
22,Reyes ' word processor .,4123,2,24,"['reyes', 'word', 'processor']","Counter({'reyes': 1, 'word': 1, 'processor': 1})",3,0.0,-2.0
23,"It dabbles all around , never gaining much momentum .",7167,3,53,"['dabbles', 'all', 'around', 'never', 'gaining', 'much', 'momentum']","Counter({'gaining': 1, 'all': 1, 'around': 1, 'never': 1, 'much': 1, 'dabbles': 1, 'momentum': 1})",7,4.0,1.0
24,Credit director Ramsay for taking the sometimes improbable story and making it feel realistic .,464,3,95,"['credit', 'director', 'ramsay', 'for', 'taking', 'the', 'sometimes', 'improbable', 'story', 'and', 'making', 'feel', 'realistic']","Counter({'and': 1, 'story': 1, 'for': 1, 'improbable': 1, 'feel': 1, 'taking': 1, 'sometimes': 1, 'director': 1, 'credit': 1, 'realistic': 1, 'making': 1, 'the': 1, 'ramsay': 1})",13,4.0,1.0
25,Meant for Star Wars fans .,7872,2,26,"['meant', 'for', 'star', 'wars', 'fans']","Counter({'meant': 1, 'fans': 1, 'star': 1, 'wars': 1, 'for': 1})",5,3.0,1.0
26,A lot of its gags and observations reflect a woman 's point-of-view .,2862,3,69,"['lot', 'its', 'gags', 'and', 'observations', 'reflect', 'woman', 'pointofview']","Counter({'and': 1, 'woman': 1, 'gags': 1, 'pointofview': 1, 'reflect': 1, 'observations': 1, 'lot': 1, 'its': 1})",8,4.0,1.0
27,"It 's a good film , but it falls short of its aspiration to be a true ` epic ' .",6666,3,80,"['good', 'film', 'but', 'falls', 'short', 'its', 'aspiration', 'true', 'epic']","Counter({'short': 1, 'aspiration': 1, 'but': 1, 'falls': 1, 'good': 1, 'epic': 1, 'true': 1, 'its': 1, 'film': 1})",9,4.0,1.0
28,"Fifty years after the fact , the world 's political situation seems little different , and -LRB- director Phillip -RRB- Noyce brings out the allegory with remarkable skill .",3180,4,173,"['fifty', 'years', 'after', 'the', 'fact', 'the', 'world', 'political', 'situation', 'seems', 'little', 'different', 'and', 'lrb', 'director', 'phillip', 'rrb', 'noyce', 'brings', 'out', 'the', 'allegory', 'with', 'remarkable', 'skill']","Counter({'the': 3, 'and': 1, 'noyce': 1, 'remarkable': 1, 'political': 1, 'rrb': 1, 'years': 1, 'skill': 1, 'out': 1, 'little': 1, 'seems': 1, 'allegory': 1, 'lrb': 1, 'brings': 1, 'after': 1, 'different': 1, 'director': 1, 'world': 1, 'fifty': 1, 'with': 1, 'phillip': 1, 'situation': 1, 'fact': 1})",23,4.0,0.0
29,"An emotionally and spiritually compelling journey seen through the right eyes , with the right actors and with the kind of visual flair that shows what great cinema can really do .",4763,4,180,"['emotionally', 'and', 'spiritually', 'compelling', 'journey', 'seen', 'through', 'the', 'right', 'eyes', 'with', 'the', 'right', 'actors', 'and', 'with', 'the', 'kind', 'visual', 'flair', 'that', 'shows', 'what', 'great', 'cinema', 'can', 'really']","Counter({'the': 3, 'and': 2, 'right': 2, 'with': 2, 'cinema': 1, 'through': 1, 'spiritually': 1, 'seen': 1, 'really': 1, 'what': 1, 'compelling': 1, 'actors': 1, 'shows': 1, 'eyes': 1, 'emotionally': 1, 'that': 1, 'kind': 1, 'visual': 1, 'journey': 1, 'great': 1, 'can': 1, 'flair': 1})",22,4.0,0.0
30,"Sure , it 's contrived and predictable , but its performances are so well tuned that the film comes off winningly , even though it 's never as solid as you want it to be .",2688,4,171,"['sure', 'contrived', 'and', 'predictable', 'but', 'its', 'performances', 'are', 'well', 'tuned', 'that', 'the', 'film', 'comes', 'off', 'winningly', 'even', 'though', 'never', 'solid', 'you', 'want']","Counter({'and': 1, 'are': 1, 'want': 1, 'its': 1, 'film': 1, 'even': 1, 'though': 1, 'you': 1, 'sure': 1, 'that': 1, 'never': 1, 'winningly': 1, 'but': 1, 'predictable': 1, 'contrived': 1, 'off': 1, 'solid': 1, 'performances': 1, 'well': 1, 'tuned': 1, 'the': 1, 'comes': 1})",22,3.0,-1.0
31,A suffocating rape-payback horror show that hinges on the subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers .,6738,3,158,"['suffocating', 'rapepayback', 'horror', 'show', 'that', 'hinges', 'the', 'subgenre', 'most', 'enabling', 'victim', 'and', 'ebullient', 'affection', 'for', 'industrialmodel', 'meat', 'freezers']","Counter({'and': 1, 'freezers': 1, 'meat': 1, 'for': 1, 'that': 1, 'suffocating': 1, 'rapepayback': 1, 'show': 1, 'enabling': 1, 'most': 1, 'horror': 1, 'industrialmodel': 1, 'victim': 1, 'the': 1, 'subgenre': 1, 'hinges': 1, 'affection': 1, 'ebullient': 1})",18,4.0,1.0
32,"This is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one .",1555,3,93,"['this', 'not', 'classical', 'dramatic', 'animated', 'feature', 'nor', 'hip', 'contemporary', 'injokey', 'one']","Counter({'hip': 1, 'injokey': 1, 'one': 1, 'classical': 1, 'this': 1, 'feature': 1, 'contemporary': 1, 'dramatic': 1, 'not': 1, 'animated': 1, 'nor': 1})",11,3.0,0.0
33,I 'm guessing the director is a magician .,6936,3,42,"['guessing', 'the', 'director', 'magician']","Counter({'director': 1, 'guessing': 1, 'the': 1, 'magician': 1})",4,3.0,0.0
34,"No matter how you slice it , Mark Wahlberg and Thandie Newton are not Hepburn and Grant , two cinematic icons with chemistry galore .",5720,3,133,"['matter', 'how', 'you', 'slice', 'mark', 'wahlberg', 'and', 'thandie', 'newton', 'are', 'not', 'hepburn', 'and', 'grant', 'two', 'cinematic', 'icons', 'with', 'chemistry', 'galore']","Counter({'and': 2, 'slice': 1, 'grant': 1, 'how': 1, 'cinematic': 1, 'newton': 1, 'two': 1, 'thandie': 1, 'mark': 1, 'matter': 1, 'are': 1, 'not': 1, 'icons': 1, 'you': 1, 'hepburn': 1, 'with': 1, 'galore': 1, 'wahlberg': 1, 'chemistry': 1})",19,3.0,0.0
35,"Shows that Jackie Chan is getting older , and that 's something I would rather live in denial about",3440,2,99,"['shows', 'that', 'jackie', 'chan', 'getting', 'older', 'and', 'that', 'something', 'would', 'rather', 'live', 'denial', 'about']","Counter({'that': 2, 'and': 1, 'about': 1, 'denial': 1, 'would': 1, 'older': 1, 'rather': 1, 'chan': 1, 'jackie': 1, 'getting': 1, 'live': 1, 'something': 1, 'shows': 1})",13,4.0,2.0
36,"Impostor ca n't think of a thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies .",4150,2,192,"['impostor', 'think', 'thing', 'with', 'these', 'characters', 'except', 'have', 'them', 'run', 'through', 'dark', 'tunnels', 'fight', 'off', 'various', 'anonymous', 'attackers', 'and', 'evade', 'elaborate', 'surveillance', 'technologies']","Counter({'and': 1, 'anonymous': 1, 'through': 1, 'have': 1, 'surveillance': 1, 'except': 1, 'fight': 1, 'attackers': 1, 'various': 1, 'tunnels': 1, 'them': 1, 'run': 1, 'dark': 1, 'characters': 1, 'technologies': 1, 'with': 1, 'off': 1, 'these': 1, 'elaborate': 1, 'impostor': 1, 'evade': 1, 'thing': 1, 'think': 1})",23,3.0,1.0
37,It 's a masterpeice .,2504,4,21,['masterpeice'],Counter({'masterpeice': 1}),1,0.0,-4.0
38,"Contrived , maudlin and cliche-ridden ... if this sappy script was the best the contest received , those rejected must have been astronomically bad .",7297,3,149,"['contrived', 'maudlin', 'and', 'clicheridden', 'this', 'sappy', 'script', 'was', 'the', 'best', 'the', 'contest', 'received', 'those', 'rejected', 'must', 'have', 'been', 'astronomically', 'bad']","Counter({'the': 2, 'and': 1, 'contrived': 1, 'clicheridden': 1, 'script': 1, 'this': 1, 'contest': 1, 'astronomically': 1, 'rejected': 1, 'received': 1, 'bad': 1, 'been': 1, 'sappy': 1, 'maudlin': 1, 'have': 1, 'those': 1, 'was': 1, 'best': 1, 'must': 1})",19,3.0,0.0
39,"A vivid , spicy footnote to history , and a movie that grips and holds you in rapt attention from start to finish .",2641,4,115,"['vivid', 'spicy', 'footnote', 'history', 'and', 'movie', 'that', 'grips', 'and', 'holds', 'you', 'rapt', 'attention', 'from', 'start', 'finish']","Counter({'and': 2, 'spicy': 1, 'from': 1, 'vivid': 1, 'that': 1, 'footnote': 1, 'movie': 1, 'holds': 1, 'rapt': 1, 'start': 1, 'finish': 1, 'attention': 1, 'grips': 1, 'you': 1, 'history': 1})",15,4.0,0.0
40,"There might be some sort of credible gender-provoking philosophy submerged here , but who the hell cares ?",1121,3,106,"['there', 'might', 'some', 'sort', 'credible', 'genderprovoking', 'philosophy', 'submerged', 'here', 'but', 'who', 'the', 'hell', 'cares', '?']","Counter({'sort': 1, 'credible': 1, 'philosophy': 1, 'who': 1, 'cares': 1, 'there': 1, 'some': 1, 'here': 1, 'genderprovoking': 1, 'but': 1, 'submerged': 1, 'hell': 1, 'the': 1, 'might': 1, '?': 1})",15,3.0,0.0
41,"A markedly inactive film , City is conversational bordering on confessional .",8433,3,77,"['markedly', 'inactive', 'film', 'city', 'conversational', 'bordering', 'confessional']","Counter({'conversational': 1, 'city': 1, 'confessional': 1, 'markedly': 1, 'inactive': 1, 'film': 1, 'bordering': 1})",7,2.0,-1.0
42,A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .,887,4,127,"['solid', 'piece', 'journalistic', 'work', 'that', 'draws', 'picture', 'man', 'for', 'whom', 'political', 'expedience', 'became', 'deadly', 'foreign', 'policy']","Counter({'picture': 1, 'draws': 1, 'for': 1, 'that': 1, 'solid': 1, 'deadly': 1, 'work': 1, 'political': 1, 'foreign': 1, 'whom': 1, 'journalistic': 1, 'expedience': 1, 'policy': 1, 'became': 1, 'piece': 1, 'man': 1})",16,4.0,0.0
43,It 's a great performance and a reminder of Dickens ' grandeur .,6458,4,64,"['great', 'performance', 'and', 'reminder', 'dickens', 'grandeur']","Counter({'and': 1, 'great': 1, 'dickens': 1, 'performance': 1, 'reminder': 1, 'grandeur': 1})",6,4.0,0.0
44,There are moments of hilarity to be had .,3272,3,41,"['there', 'are', 'moments', 'hilarity', 'had']","Counter({'moments': 1, 'there': 1, 'had': 1, 'are': 1, 'hilarity': 1})",5,3.0,0.0
45,A rambling ensemble piece with loosely connected characters and plots that never quite gel .,4727,2,92,"['rambling', 'ensemble', 'piece', 'with', 'loosely', 'connected', 'characters', 'and', 'plots', 'that', 'never', 'quite', 'gel']","Counter({'and': 1, 'rambling': 1, 'that': 1, 'never': 1, 'loosely': 1, 'quite': 1, 'connected': 1, 'characters': 1, 'plots': 1, 'piece': 1, 'with': 1, 'ensemble': 1, 'gel': 1})",13,4.0,2.0
46,A film about female friendship that men can embrace and women will talk about for hours .,5274,4,89,"['film', 'about', 'female', 'friendship', 'that', 'men', 'can', 'embrace', 'and', 'women', 'will', 'talk', 'about', 'for', 'hours']","Counter({'about': 2, 'and': 1, 'hours': 1, 'for': 1, 'that': 1, 'men': 1, 'will': 1, 'embrace': 1, 'can': 1, 'female': 1, 'talk': 1, 'friendship': 1, 'film': 1, 'women': 1})",14,4.0,0.0
47,"Bacon keeps things interesting , but do n't go out of your way to pay full price .",5728,3,82,"['bacon', 'keeps', 'things', 'interesting', 'but', 'out', 'your', 'way', 'pay', 'full', 'price']","Counter({'pay': 1, 'full': 1, 'things': 1, 'price': 1, 'keeps': 1, 'bacon': 1, 'but': 1, 'way': 1, 'interesting': 1, 'your': 1, 'out': 1})",11,3.0,0.0
48,"The story suffers a severe case of oversimplification , superficiality and silliness .",4754,2,86,"['the', 'story', 'suffers', 'severe', 'case', 'oversimplification', 'superficiality', 'and', 'silliness']","Counter({'case': 1, 'and': 1, 'story': 1, 'suffers': 1, 'silliness': 1, 'superficiality': 1, 'severe': 1, 'oversimplification': 1, 'the': 1})",9,2.0,0.0
49,"A loud , low-budget and tired formula film that arrives cloaked in the euphemism ` urban drama . '",5861,2,98,"['loud', 'lowbudget', 'and', 'tired', 'formula', 'film', 'that', 'arrives', 'cloaked', 'the', 'euphemism', 'urban', 'drama']","Counter({'and': 1, 'euphemism': 1, 'arrives': 1, 'tired': 1, 'lowbudget': 1, 'that': 1, 'urban': 1, 'drama': 1, 'cloaked': 1, 'formula': 1, 'the': 1, 'loud': 1, 'film': 1})",13,3.0,1.0
50,A wonderfully speculative character study that made up for its rather slow beginning by drawing me into the picture .,8438,4,117,"['wonderfully', 'speculative', 'character', 'study', 'that', 'made', 'for', 'its', 'rather', 'slow', 'beginning', 'drawing', 'into', 'the', 'picture']","Counter({'picture': 1, 'made': 1, 'for': 1, 'that': 1, 'rather': 1, 'speculative': 1, 'character': 1, 'its': 1, 'slow': 1, 'wonderfully': 1, 'into': 1, 'the': 1, 'drawing': 1, 'beginning': 1, 'study': 1})",15,4.0,0.0
51,"Too damn weird to pass up , and for the blacklight crowd , way cheaper -LRB- and better -RRB- than Pink Floyd tickets .",5282,3,119,"['too', 'damn', 'weird', 'pass', 'and', 'for', 'the', 'blacklight', 'crowd', 'way', 'cheaper', 'lrb', 'and', 'better', 'rrb', 'than', 'pink', 'floyd', 'tickets']","Counter({'and': 2, 'pink': 1, 'lrb': 1, 'crowd': 1, 'for': 1, 'than': 1, 'tickets': 1, 'rrb': 1, 'cheaper': 1, 'better': 1, 'floyd': 1, 'damn': 1, 'too': 1, 'way': 1, 'pass': 1, 'weird': 1, 'the': 1, 'blacklight': 1})",18,3.0,0.0
52,"Though Jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .",6192,4,219,"['though', 'jackson', 'does', 'always', 'succeed', 'integrating', 'the', 'characters', 'the', 'foreground', 'into', 'the', 'extraordinarily', 'rich', 'landscape', 'must', 'said', 'that', 'imaginative', 'filmmaker', 'who', 'can', 'see', 'the', 'forest', 'for', 'the', 'trees']","Counter({'the': 5, 'imaginative': 1, 'into': 1, 'see': 1, 'landscape': 1, 'said': 1, 'jackson': 1, 'for': 1, 'that': 1, 'does': 1, 'forest': 1, 'rich': 1, 'foreground': 1, 'though': 1, 'who': 1, 'trees': 1, 'filmmaker': 1, 'succeed': 1, 'characters': 1, 'must': 1, 'integrating': 1, 'always': 1, 'extraordinarily': 1, 'can': 1})",24,4.0,0.0
53,"A chronicle not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department .",240,3,235,"['chronicle', 'not', 'only', 'one', 'man', 'quest', 'president', 'but', 'how', 'that', 'man', 'singlehandedly', 'turned', 'plane', 'full', 'hardbitten', 'cynical', 'journalists', 'into', 'what', 'was', 'essentially', 'campaign', 'end', 'extended', 'publicity', 'department']","Counter({'man': 2, 'cynical': 1, 'into': 1, 'turned': 1, 'one': 1, 'extended': 1, 'what': 1, 'end': 1, 'campaign': 1, 'how': 1, 'only': 1, 'hardbitten': 1, 'department': 1, 'was': 1, 'full': 1, 'publicity': 1, 'journalists': 1, 'that': 1, 'but': 1, 'plane': 1, 'not': 1, 'president': 1, 'essentially': 1, 'chronicle': 1, 'quest': 1, 'singlehandedly': 1})",26,3.0,0.0
54,"Provides a porthole into that noble , trembling incoherence that defines us all .",5453,3,81,"['provides', 'porthole', 'into', 'that', 'noble', 'trembling', 'incoherence', 'that', 'defines', 'all']","Counter({'that': 2, 'noble': 1, 'all': 1, 'incoherence': 1, 'into': 1, 'trembling': 1, 'provides': 1, 'porthole': 1, 'defines': 1})",9,4.0,1.0
55,Wait for pay per view or rental but do n't dismiss BarberShop out of hand .,1552,2,75,"['wait', 'for', 'pay', 'per', 'view', 'rental', 'but', 'dismiss', 'barbershop', 'out', 'hand']","Counter({'out': 1, 'for': 1, 'pay': 1, 'dismiss': 1, 'per': 1, 'hand': 1, 'barbershop': 1, 'but': 1, 'wait': 1, 'rental': 1, 'view': 1})",11,3.0,1.0
56,May puzzle his most ardent fans .,2222,3,33,"['may', 'puzzle', 'his', 'most', 'ardent', 'fans']","Counter({'his': 1, 'may': 1, 'puzzle': 1, 'most': 1, 'fans': 1, 'ardent': 1})",6,4.0,1.0
57,Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,2338,4,102,"['beresford', 'nicely', 'mixes', 'much', 'humor', 'pathos', 'take', 'his', 'sentimental', 'journey', 'the', 'heart']","Counter({'heart': 1, 'his': 1, 'humor': 1, 'beresford': 1, 'nicely': 1, 'sentimental': 1, 'mixes': 1, 'much': 1, 'take': 1, 'the': 1, 'pathos': 1, 'journey': 1})",12,4.0,0.0
