,phrase,sentence_id,sentiment,length,word_list,word_counter,num_unique_words,unique_word_density,guess,guess-sentiment
10,"This is not Chabrol 's best , but even his lesser works outshine the best some directors can offer .",679,4,100,"['this', 'not', 'chabrol', 'best', 'but', 'even', 'his', 'lesser', 'works', 'outshine', 'the', 'best', 'some', 'directors', 'can', 'offer']","Counter({'best': 2, 'even': 1, 'his': 1, 'offer': 1, 'this': 1, 'some': 1, 'but': 1, 'lesser': 1, 'outshine': 1, 'directors': 1, 'chabrol': 1, 'can': 1, 'not': 1, 'the': 1, 'works': 1})",15,0,4.0,0.0
11,"Impeccably filmed , sexually charged , but ultimately lacking in substance , not to mention dragged down by a leaden closing act .",5526,3,130,"['impeccably', 'filmed', 'sexually', 'charged', 'but', 'ultimately', 'lacking', 'substance', 'not', 'mention', 'dragged', 'down', 'leaden', 'closing', 'act']","Counter({'leaden': 1, 'ultimately': 1, 'filmed': 1, 'lacking': 1, 'impeccably': 1, 'act': 1, 'but': 1, 'down': 1, 'mention': 1, 'substance': 1, 'sexually': 1, 'not': 1, 'closing': 1, 'dragged': 1, 'charged': 1})",15,1,3.0,0.0
12,"Each punch seen through prison bars , the fights become not so much a struggle of man vs. man as Brother-Man vs. The Man .",6365,2,122,"['each', 'punch', 'seen', 'through', 'prison', 'bars', 'the', 'fights', 'become', 'not', 'much', 'struggle', 'man', 'man', 'brotherman', 'the', 'man']","Counter({'man': 3, 'the': 2, 'bars': 1, 'fights': 1, 'become': 1, 'each': 1, 'brotherman': 1, 'punch': 1, 'much': 1, 'through': 1, 'struggle': 1, 'prison': 1, 'not': 1, 'seen': 1})",14,0,3.0,1.0
13,"Oddly , the film is n't nearly as downbeat as it sounds , but strikes a tone that 's alternately melancholic , hopeful and strangely funny .",6940,4,140,"['oddly', 'the', 'film', 'nearly', 'downbeat', 'sounds', 'but', 'strikes', 'tone', 'that', 'alternately', 'melancholic', 'hopeful', 'and', 'strangely', 'funny']","Counter({'melancholic': 1, 'and': 1, 'strikes': 1, 'that': 1, 'downbeat': 1, 'hopeful': 1, 'alternately': 1, 'but': 1, 'oddly': 1, 'funny': 1, 'nearly': 1, 'tone': 1, 'the': 1, 'sounds': 1, 'film': 1, 'strangely': 1})",16,1,4.0,0.0
14,An uneven look into a grim future that does n't come close to the level of intelligence and visual splendour that can be seen in other films based on Philip K. Dick stories .,2372,3,174,"['uneven', 'look', 'into', 'grim', 'future', 'that', 'does', 'come', 'close', 'the', 'level', 'intelligence', 'and', 'visual', 'splendour', 'that', 'can', 'seen', 'other', 'films', 'based', 'philip', 'dick', 'stories']","Counter({'that': 2, 'and': 1, 'intelligence': 1, 'into': 1, 'splendour': 1, 'close': 1, 'seen': 1, 'uneven': 1, 'based': 1, 'dick': 1, 'does': 1, 'other': 1, 'films': 1, 'visual': 1, 'philip': 1, 'come': 1, 'grim': 1, 'look': 1, 'level': 1, 'future': 1, 'stories': 1, 'can': 1, 'the': 1})",23,0,3.0,0.0
15,"Like all of Egoyan 's work , Ararat is fiercely intelligent and uncommonly ambitious .",3109,4,86,"['like', 'all', 'egoyan', 'work', 'ararat', 'fiercely', 'intelligent', 'and', 'uncommonly', 'ambitious']","Counter({'and': 1, 'all': 1, 'like': 1, 'uncommonly': 1, 'work': 1, 'fiercely': 1, 'ararat': 1, 'ambitious': 1, 'egoyan': 1, 'intelligent': 1})",10,1,4.0,0.0
16,"You see the movie and you think , zzzzzzzzz .",7398,2,45,"['you', 'see', 'the', 'movie', 'and', 'you', 'think', 'zzzzzzzzz']","Counter({'you': 2, 'and': 1, 'zzzzzzzzz': 1, 'movie': 1, 'think': 1, 'see': 1, 'the': 1})",7,0,3.0,1.0
17,"If you want a movie time trip , the 1960 version is a far smoother ride .",7826,3,73,"['you', 'want', 'movie', 'time', 'trip', 'the', '1960', 'version', 'far', 'smoother', 'ride']","Counter({'far': 1, 'movie': 1, 'ride': 1, 'smoother': 1, '1960': 1, 'trip': 1, 'version': 1, 'want': 1, 'time': 1, 'you': 1, 'the': 1})",11,1,4.0,1.0
18,to be the best espionage picture to come out in weeks,1733,4,53,"['the', 'best', 'espionage', 'picture', 'come', 'out', 'weeks']","Counter({'picture': 1, 'best': 1, 'the': 1, 'come': 1, 'weeks': 1, 'espionage': 1, 'out': 1})",7,1,3.0,-1.0
19,"Though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should .",4904,4,180,"['though', 'its', 'rather', 'routine', 'script', 'loaded', 'with', 'familiar', 'situations', 'the', 'movie', 'has', 'cinematic', 'fluidity', 'and', 'sense', 'intelligence', 'that', 'makes', 'work', 'more', 'than', 'probably', 'should']","Counter({'and': 1, 'intelligence': 1, 'sense': 1, 'loaded': 1, 'its': 1, 'script': 1, 'rather': 1, 'movie': 1, 'that': 1, 'should': 1, 'routine': 1, 'probably': 1, 'has': 1, 'more': 1, 'fluidity': 1, 'though': 1, 'familiar': 1, 'cinematic': 1, 'with': 1, 'than': 1, 'work': 1, 'situations': 1, 'the': 1, 'makes': 1})",24,1,3.0,-1.0
20,A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .,4300,3,99,"['reasonably', 'entertaining', 'sequel', '1994', 'surprise', 'family', 'hit', 'that', 'may', 'strain', 'adult', 'credibility']","Counter({'hit': 1, '1994': 1, 'family': 1, 'that': 1, 'may': 1, 'credibility': 1, 'reasonably': 1, 'sequel': 1, 'strain': 1, 'adult': 1, 'surprise': 1, 'entertaining': 1})",12,1,3.0,0.0
21,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",438,4,126,"['most', 'remarkable', 'not', 'because', 'its', 'epic', 'scope', 'but', 'because', 'the', 'startling', 'intimacy', 'achieves', 'despite', 'that', 'breadth']","Counter({'because': 2, 'startling': 1, 'breadth': 1, 'remarkable': 1, 'that': 1, 'but': 1, 'intimacy': 1, 'achieves': 1, 'most': 1, 'despite': 1, 'not': 1, 'scope': 1, 'the': 1, 'epic': 1, 'its': 1})",15,0,4.0,0.0
22,"Though Frida is easier to swallow than Julie Taymor 's preposterous Titus , the eye candy here lacks considerable brio .",1345,2,120,"['though', 'frida', 'easier', 'swallow', 'than', 'julie', 'taymor', 'preposterous', 'titus', 'the', 'eye', 'candy', 'here', 'lacks', 'considerable', 'brio']","Counter({'the': 1, 'lacks': 1, 'eye': 1, 'considerable': 1, 'though': 1, 'julie': 1, 'taymor': 1, 'candy': 1, 'than': 1, 'here': 1, 'brio': 1, 'titus': 1, 'frida': 1, 'swallow': 1, 'preposterous': 1, 'easier': 1})",16,1,3.0,1.0
23,"Unexpected moments of authentically impulsive humor are the hallmark of this bittersweet , uncommonly sincere movie that portrays the frank humanity of ... emotional recovery .",3615,4,176,"['unexpected', 'moments', 'authentically', 'impulsive', 'humor', 'are', 'the', 'hallmark', 'this', 'bittersweet', 'uncommonly', 'sincere', 'movie', 'that', 'portrays', 'the', 'frank', 'humanity', 'emotional', 'recovery']","Counter({'the': 2, 'bittersweet': 1, 'hallmark': 1, 'unexpected': 1, 'humor': 1, 'recovery': 1, 'that': 1, 'moments': 1, 'uncommonly': 1, 'sincere': 1, 'frank': 1, 'portrays': 1, 'impulsive': 1, 'this': 1, 'are': 1, 'movie': 1, 'emotional': 1, 'humanity': 1, 'authentically': 1})",19,0,4.0,0.0
24,"The trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",1887,3,178,"['the', 'trouble', 'with', 'making', 'this', 'queen', 'thoroughly', 'modern', 'maiden', 'that', 'also', 'makes', 'her', 'appear', 'foolish', 'and', 'shallow', 'rather', 'than', 'was', 'more', 'likely', 'victim', 'mental', 'illness']","Counter({'and': 1, 'illness': 1, 'mental': 1, 'modern': 1, 'likely': 1, 'victim': 1, 'appear': 1, 'her': 1, 'rather': 1, 'thoroughly': 1, 'also': 1, 'was': 1, 'more': 1, 'queen': 1, 'maiden': 1, 'that': 1, 'shallow': 1, 'trouble': 1, 'with': 1, 'than': 1, 'this': 1, 'making': 1, 'the': 1, 'foolish': 1, 'makes': 1})",25,1,3.0,0.0
25,"It 's a thin notion , repetitively stretched out to feature length , awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue .",7315,2,165,"['thin', 'notion', 'repetitively', 'stretched', 'out', 'feature', 'length', 'awash', 'selfconsciously', 'flashy', 'camera', 'effects', 'droning', 'house', 'music', 'and', 'flat', 'flat', 'dialogue']","Counter({'flat': 2, 'droning': 1, 'awash': 1, 'and': 1, 'selfconsciously': 1, 'thin': 1, 'house': 1, 'dialogue': 1, 'feature': 1, 'effects': 1, 'length': 1, 'camera': 1, 'flashy': 1, 'stretched': 1, 'repetitively': 1, 'music': 1, 'notion': 1, 'out': 1})",18,0,2.0,0.0
26,"-LRB- There 's -RRB- quite a bit of heart , as you would expect from the directors of The Little Mermaid and Aladdin .",2438,3,118,"['lrb', 'there', 'rrb', 'quite', 'bit', 'heart', 'you', 'would', 'expect', 'from', 'the', 'directors', 'the', 'little', 'mermaid', 'and', 'aladdin']","Counter({'the': 2, 'and': 1, 'heart': 1, 'little': 1, 'lrb': 1, 'from': 1, 'aladdin': 1, 'would': 1, 'there': 1, 'rrb': 1, 'quite': 1, 'directors': 1, 'expect': 1, 'bit': 1, 'you': 1, 'mermaid': 1})",16,0,3.0,0.0
27,"You might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental instead .",1258,2,133,"['you', 'might', 'want', 'take', 'reality', 'check', 'before', 'you', 'pay', 'the', 'full', 'ticket', 'price', 'see', 'simone', 'and', 'consider', 'dvd', 'rental', 'instead']","Counter({'you': 2, 'and': 1, 'the': 1, 'full': 1, 'instead': 1, 'consider': 1, 'pay': 1, 'price': 1, 'reality': 1, 'simone': 1, 'see': 1, 'ticket': 1, 'take': 1, 'want': 1, 'dvd': 1, 'rental': 1, 'might': 1, 'check': 1, 'before': 1})",19,0,3.0,1.0
28,"Literary purists may not be pleased , but as far as mainstream matinee-style entertainment goes , it does a bang-up job of pleasing the crowds .",7584,4,144,"['literary', 'purists', 'may', 'not', 'pleased', 'but', 'far', 'mainstream', 'matineestyle', 'entertainment', 'goes', 'does', 'bangup', 'job', 'pleasing', 'the', 'crowds']","Counter({'bangup': 1, 'matineestyle': 1, 'mainstream': 1, 'entertainment': 1, 'may': 1, 'but': 1, 'literary': 1, 'far': 1, 'job': 1, 'does': 1, 'goes': 1, 'not': 1, 'purists': 1, 'the': 1, 'pleasing': 1, 'crowds': 1, 'pleased': 1})",17,1,4.0,0.0
29,Those who want to be jolted out of their gourd should drop everything and run to Ichi .,2023,3,87,"['those', 'who', 'want', 'jolted', 'out', 'their', 'gourd', 'should', 'drop', 'everything', 'and', 'run', 'ichi']","Counter({'and': 1, 'drop': 1, 'run': 1, 'everything': 1, 'gourd': 1, 'who': 1, 'ichi': 1, 'should': 1, 'their': 1, 'want': 1, 'jolted': 1, 'those': 1, 'out': 1})",13,1,3.0,0.0
30,"Using a stock plot , About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .",302,4,140,"['using', 'stock', 'plot', 'about', 'boy', 'injects', 'just', 'enough', 'freshness', 'into', 'the', 'proceedings', 'provide', 'enjoyable', '100', 'minutes', 'movie', 'theater']","Counter({'boy': 1, 'about': 1, 'theater': 1, 'just': 1, 'plot': 1, 'provide': 1, 'movie': 1, 'into': 1, 'freshness': 1, 'injects': 1, 'enjoyable': 1, 'enough': 1, 'proceedings': 1, 'using': 1, 'the': 1, 'minutes': 1, '100': 1, 'stock': 1})",18,1,3.0,-1.0
31,Bravo reveals the true intent of her film by carefully selecting interview subjects who will construct a portrait of Castro so predominantly charitable it can only be seen as propaganda .,4683,3,187,"['bravo', 'reveals', 'the', 'true', 'intent', 'her', 'film', 'carefully', 'selecting', 'interview', 'subjects', 'who', 'will', 'construct', 'portrait', 'castro', 'predominantly', 'charitable', 'can', 'only', 'seen', 'propaganda']","Counter({'reveals': 1, 'bravo': 1, 'portrait': 1, 'carefully': 1, 'seen': 1, 'film': 1, 'her': 1, 'construct': 1, 'predominantly': 1, 'only': 1, 'subjects': 1, 'interview': 1, 'selecting': 1, 'who': 1, 'intent': 1, 'true': 1, 'castro': 1, 'will': 1, 'charitable': 1, 'can': 1, 'the': 1, 'propaganda': 1})",22,1,3.0,0.0
32,"A slam-bang extravaganza that is all about a wild-and-woolly , wall-to-wall good time .",5436,4,87,"['slambang', 'extravaganza', 'that', 'all', 'about', 'wildandwoolly', 'walltowall', 'good', 'time']","Counter({'all': 1, 'good': 1, 'that': 1, 'about': 1, 'wildandwoolly': 1, 'walltowall': 1, 'time': 1, 'slambang': 1, 'extravaganza': 1})",9,1,4.0,0.0
33,It 's crap on a leash -- far too polite to scale the lunatic heights of Joe Dante 's similarly styled Gremlins .,1467,3,112,"['crap', 'leash', 'far', 'too', 'polite', 'scale', 'the', 'lunatic', 'heights', 'joe', 'dante', 'similarly', 'styled', 'gremlins']","Counter({'dante': 1, 'scale': 1, 'crap': 1, 'lunatic': 1, 'similarly': 1, 'far': 1, 'gremlins': 1, 'polite': 1, 'heights': 1, 'leash': 1, 'too': 1, 'styled': 1, 'the': 1, 'joe': 1})",14,1,2.0,-1.0
34,"The ensemble cast turns in a collectively stellar performance , and the writing is tight and truthful , full of funny situations and honest observations .",3620,4,154,"['the', 'ensemble', 'cast', 'turns', 'collectively', 'stellar', 'performance', 'and', 'the', 'writing', 'tight', 'and', 'truthful', 'full', 'funny', 'situations', 'and', 'honest', 'observations']","Counter({'and': 3, 'the': 2, 'tight': 1, 'full': 1, 'cast': 1, 'turns': 1, 'writing': 1, 'stellar': 1, 'collectively': 1, 'observations': 1, 'situations': 1, 'performance': 1, 'funny': 1, 'truthful': 1, 'ensemble': 1, 'honest': 1})",16,0,4.0,0.0
35,"If you 're part of her targeted audience , you 'll cheer .",6929,4,58,"['you', 'part', 'her', 'targeted', 'audience', 'you', 'cheer']","Counter({'you': 2, 'her': 1, 'targeted': 1, 'audience': 1, 'cheer': 1, 'part': 1})",6,0,4.0,0.0
36,... most viewers will wish there had been more of the `` Queen '' and less of the `` Damned . '',6109,2,96,"['most', 'viewers', 'will', 'wish', 'there', 'had', 'been', 'more', 'the', 'queen', 'and', 'less', 'the', 'damned']","Counter({'the': 2, 'and': 1, 'queen': 1, 'less': 1, 'wish': 1, 'there': 1, 'had': 1, 'been': 1, 'will': 1, 'most': 1, 'damned': 1, 'viewers': 1, 'more': 1})",13,0,3.0,1.0
37,"Muccino , who directed from his own screenplay , is a canny crowd pleaser , and The Last Kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex .",620,4,189,"['muccino', 'who', 'directed', 'from', 'his', 'own', 'screenplay', 'canny', 'crowd', 'pleaser', 'and', 'the', 'last', 'kiss', 'provides', 'more', 'than', 'enough', 'sentimental', 'catharsis', 'for', 'satisfying', 'evening', 'the', 'multiplex']","Counter({'the': 2, 'screenplay': 1, 'and': 1, 'muccino': 1, 'crowd': 1, 'pleaser': 1, 'own': 1, 'multiplex': 1, 'satisfying': 1, 'from': 1, 'for': 1, 'enough': 1, 'provides': 1, 'more': 1, 'his': 1, 'who': 1, 'kiss': 1, 'canny': 1, 'than': 1, 'directed': 1, 'sentimental': 1, 'last': 1, 'evening': 1, 'catharsis': 1})",24,0,3.0,-1.0
38,What 's really so appealing about the characters is their resemblance to everyday children .,5138,3,92,"['what', 'really', 'appealing', 'about', 'the', 'characters', 'their', 'resemblance', 'everyday', 'children']","Counter({'about': 1, 'resemblance': 1, 'what': 1, 'children': 1, 'their': 1, 'appealing': 1, 'characters': 1, 'the': 1, 'everyday': 1, 'really': 1})",10,1,3.0,0.0
39,Festers in just such a dungpile that you 'd swear you were watching monkeys flinging their feces at you .,279,3,105,"['festers', 'just', 'such', 'dungpile', 'that', 'you', 'swear', 'you', 'were', 'watching', 'monkeys', 'flinging', 'their', 'feces', 'you']","Counter({'you': 3, 'festers': 1, 'flinging': 1, 'just': 1, 'that': 1, 'watching': 1, 'feces': 1, 'dungpile': 1, 'their': 1, 'swear': 1, 'were': 1, 'such': 1, 'monkeys': 1})",13,0,2.0,-1.0
40,Polanski has found the perfect material with which to address his own World War II experience in his signature style .,3961,4,118,"['polanski', 'has', 'found', 'the', 'perfect', 'material', 'with', 'which', 'address', 'his', 'own', 'world', 'war', 'experience', 'his', 'signature', 'style']","Counter({'his': 2, 'perfect': 1, 'style': 1, 'world': 1, 'material': 1, 'signature': 1, 'experience': 1, 'polanski': 1, 'own': 1, 'which': 1, 'address': 1, 'found': 1, 'the': 1, 'has': 1, 'with': 1, 'war': 1})",16,0,4.0,0.0
41,Inconsequential road-and-buddy pic .,2527,2,36,"['inconsequential', 'roadandbuddy', 'pic']","Counter({'roadandbuddy': 1, 'pic': 1, 'inconsequential': 1})",3,1,0.0,-2.0
42,"Mild , meandering teen flick .",2042,2,30,"['mild', 'meandering', 'teen', 'flick']","Counter({'teen': 1, 'flick': 1, 'mild': 1, 'meandering': 1})",4,1,2.0,0.0
43,You ca n't believe anyone would really buy this stuff .,2360,3,55,"['you', 'believe', 'anyone', 'would', 'really', 'buy', 'this', 'stuff']","Counter({'buy': 1, 'would': 1, 'this': 1, 'anyone': 1, 'stuff': 1, 'you': 1, 'believe': 1, 'really': 1})",8,1,3.0,0.0
44,Paul Cox needed to show it .,690,3,28,"['paul', 'cox', 'needed', 'show']","Counter({'cox': 1, 'paul': 1, 'show': 1, 'needed': 1})",4,1,3.0,0.0
45,Ruh-roh !,1959,2,9,"['ruhroh', '!']","Counter({'!': 1, 'ruhroh': 1})",2,1,2.0,0.0
46,It 's the type of stunt the Academy loves : a powerful political message stuffed into an otherwise mediocre film .,6703,3,114,"['the', 'type', 'stunt', 'the', 'academy', 'loves', 'powerful', 'political', 'message', 'stuffed', 'into', 'otherwise', 'mediocre', 'film']","Counter({'the': 2, 'stuffed': 1, 'academy': 1, 'into': 1, 'powerful': 1, 'mediocre': 1, 'loves': 1, 'political': 1, 'stunt': 1, 'type': 1, 'message': 1, 'film': 1, 'otherwise': 1})",13,0,4.0,1.0
47,"A colorful , vibrant introduction to a universal human impulse , lushly photographed and beautifully recorded .",3639,4,111,"['colorful', 'vibrant', 'introduction', 'universal', 'human', 'impulse', 'lushly', 'photographed', 'and', 'beautifully', 'recorded']","Counter({'and': 1, 'lushly': 1, 'human': 1, 'colorful': 1, 'introduction': 1, 'vibrant': 1, 'universal': 1, 'recorded': 1, 'impulse': 1, 'beautifully': 1, 'photographed': 1})",11,1,4.0,0.0
48,Old-fashioned but thoroughly satisfying entertainment .,7483,4,55,"['oldfashioned', 'but', 'thoroughly', 'satisfying', 'entertainment']","Counter({'thoroughly': 1, 'satisfying': 1, 'but': 1, 'oldfashioned': 1, 'entertainment': 1})",5,1,4.0,0.0
49,Really quite funny .,7927,4,20,"['really', 'quite', 'funny']","Counter({'funny': 1, 'quite': 1, 'really': 1})",3,1,4.0,0.0
50,"The film was produced by Jerry Bruckheimer and directed by Joel Schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one -LRB- and no one -RRB- .",4406,3,266,"['the', 'film', 'was', 'produced', 'jerry', 'bruckheimer', 'and', 'directed', 'joel', 'schumacher', 'and', 'reflects', 'the', 'worst', 'their', 'shallow', 'styles', 'wildly', 'overproduced', 'inadequately', 'motivated', 'every', 'step', 'the', 'way', 'and', 'demographically', 'targeted', 'please', 'every', 'one', 'lrb', 'and', 'one', 'rrb']","Counter({'and': 4, 'the': 3, 'one': 2, 'every': 2, 'rrb': 1, 'produced': 1, 'film': 1, 'please': 1, 'jerry': 1, 'their': 1, 'way': 1, 'wildly': 1, 'was': 1, 'reflects': 1, 'styles': 1, 'lrb': 1, 'motivated': 1, 'targeted': 1, 'shallow': 1, 'step': 1, 'worst': 1, 'inadequately': 1, 'directed': 1, 'demographically': 1, 'bruckheimer': 1, 'schumacher': 1, 'joel': 1, 'overproduced': 1})",28,0,3.0,0.0
51,... its stupidities wind up sticking in one 's mind a lot more than the cool bits .,5368,3,83,"['its', 'stupidities', 'wind', 'sticking', 'one', 'mind', 'lot', 'more', 'than', 'the', 'cool', 'bits']","Counter({'sticking': 1, 'than': 1, 'mind': 1, 'one': 1, 'stupidities': 1, 'lot': 1, 'the': 1, 'cool': 1, 'bits': 1, 'its': 1, 'wind': 1, 'more': 1})",12,1,3.0,0.0
52,"Even though the film does n't manage to hit all of its marks , it 's still entertaining to watch the target practice .",6716,4,118,"['even', 'though', 'the', 'film', 'does', 'manage', 'hit', 'all', 'its', 'marks', 'still', 'entertaining', 'watch', 'the', 'target', 'practice']","Counter({'the': 2, 'even': 1, 'all': 1, 'practice': 1, 'hit': 1, 'target': 1, 'though': 1, 'manage': 1, 'watch': 1, 'entertaining': 1, 'does': 1, 'marks': 1, 'still': 1, 'its': 1, 'film': 1})",15,0,3.0,-1.0
53,`` Solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work .,4066,3,96,"['solaris', 'shapeless', 'inconsequential', 'move', 'relying', 'the', 'viewer', 'most', 'the', 'work']","Counter({'the': 2, 'shapeless': 1, 'work': 1, 'solaris': 1, 'viewer': 1, 'move': 1, 'inconsequential': 1, 'most': 1, 'relying': 1})",9,0,4.0,1.0
54,"Self-congratulatory , misguided , and ill-informed , if nonetheless compulsively watchable .",4281,3,92,"['selfcongratulatory', 'misguided', 'and', 'illinformed', 'nonetheless', 'compulsively', 'watchable']","Counter({'and': 1, 'nonetheless': 1, 'selfcongratulatory': 1, 'illinformed': 1, 'watchable': 1, 'compulsively': 1, 'misguided': 1})",7,1,4.0,1.0
55,"The characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life .",1511,4,117,"['the', 'characters', 'are', 'complex', 'and', 'quirky', 'but', 'entirely', 'believable', 'the', 'remarkable', 'ensemble', 'cast', 'brings', 'them', 'life']","Counter({'the': 2, 'and': 1, 'them': 1, 'remarkable': 1, 'brings': 1, 'life': 1, 'but': 1, 'ensemble': 1, 'cast': 1, 'complex': 1, 'are': 1, 'characters': 1, 'believable': 1, 'quirky': 1, 'entirely': 1})",15,0,4.0,0.0
56,It 's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex .,1837,3,101,"['mindless', 'action', 'flick', 'with', 'twist', 'far', 'better', 'suited', 'videoviewing', 'than', 'the', 'multiplex']","Counter({'flick': 1, 'better': 1, 'far': 1, 'twist': 1, 'videoviewing': 1, 'mindless': 1, 'multiplex': 1, 'suited': 1, 'action': 1, 'the': 1, 'with': 1, 'than': 1})",12,1,4.0,1.0
57,But I do .,607,3,10,['but'],Counter({'but': 1}),1,1,3.0,0.0
58,"Like the best of Godard 's movies ... it is visually ravishing , penetrating , impenetrable .",6287,4,93,"['like', 'the', 'best', 'godard', 'movies', 'visually', 'ravishing', 'penetrating', 'impenetrable']","Counter({'visually': 1, 'penetrating': 1, 'like': 1, 'impenetrable': 1, 'godard': 1, 'movies': 1, 'ravishing': 1, 'the': 1, 'best': 1})",9,1,4.0,0.0
