,phrase,sentence_id,length,word_list,word_counter,num_unique_words
18,"A depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along : George W. Bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide .",8563,232,"['depressing', 'confirmation', 'everything', 'those', 'who', 'object', 'the', 'description', 'unelected', 'have', 'suspected', 'all', 'along', 'george', 'bush', 'incurious', 'uncharismatic', 'overgrown', 'frat', 'boy', 'with', 'mean', 'streak', 'mile', 'wide']","Counter({'streak': 1, 'all': 1, 'unelected': 1, 'mile': 1, 'have': 1, 'george': 1, 'bush': 1, 'everything': 1, 'overgrown': 1, 'incurious': 1, 'confirmation': 1, 'description': 1, 'wide': 1, 'who': 1, 'depressing': 1, 'frat': 1, 'suspected': 1, 'along': 1, 'with': 1, 'those': 1, 'boy': 1, 'object': 1, 'uncharismatic': 1, 'the': 1, 'mean': 1})",25
19,You do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .,8564,101,"['you', 'have', 'know', 'about', 'music', 'appreciate', 'the', 'film', 'easygoing', 'blend', 'comedy', 'and', 'romance']","Counter({'and': 1, 'about': 1, 'easygoing': 1, 'appreciate': 1, 'romance': 1, 'music': 1, 'know': 1, 'have': 1, 'you': 1, 'comedy': 1, 'blend': 1, 'the': 1, 'film': 1})",13
20,"However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .",8565,130,"['however', 'lacks', 'grandeur', 'and', 'that', 'epic', 'quality', 'often', 'associated', 'with', 'stevenson', 'tale', 'well', 'with', 'earlier', 'disney', 'efforts']","Counter({'with': 2, 'and': 1, 'lacks': 1, 'associated': 1, 'often': 1, 'that': 1, 'stevenson': 1, 'earlier': 1, 'well': 1, 'however': 1, 'tale': 1, 'disney': 1, 'efforts': 1, 'epic': 1, 'quality': 1, 'grandeur': 1})",16
21,"Although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .",8566,130,"['although', 'occasionally', 'static', 'the', 'point', 'resembling', 'stage', 'play', 'the', 'film', 'delivers', 'solid', 'mixture', 'sweetness', 'and', 'laughs']","Counter({'the': 2, 'and': 1, 'play': 1, 'mixture': 1, 'point': 1, 'solid': 1, 'laughs': 1, 'occasionally': 1, 'static': 1, 'although': 1, 'resembling': 1, 'sweetness': 1, 'delivers': 1, 'film': 1, 'stage': 1})",15
22,"An occasionally funny , but overall limp , fish-out-of-water story .",8567,68,"['occasionally', 'funny', 'but', 'overall', 'limp', 'fishoutofwater', 'story']","Counter({'funny': 1, 'story': 1, 'fishoutofwater': 1, 'limp': 1, 'overall': 1, 'but': 1, 'occasionally': 1})",7
23,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .,8568,162,"['nightmare', 'date', 'with', 'halfformed', 'wit', 'done', 'great', 'disservice', 'lack', 'critical', 'distance', 'and', 'sad', 'trust', 'liberal', 'arts', 'college', 'bumper', 'sticker', 'platitudes']","Counter({'and': 1, 'distance': 1, 'great': 1, 'liberal': 1, 'with': 1, 'nightmare': 1, 'lack': 1, 'platitudes': 1, 'arts': 1, 'sad': 1, 'bumper': 1, 'wit': 1, 'done': 1, 'critical': 1, 'disservice': 1, 'date': 1, 'college': 1, 'trust': 1, 'halfformed': 1, 'sticker': 1})",20
24,"A fitfully amusing romp that , if nothing else , will appeal to fans of Malcolm in the Middle and its pubescent star , Frankie Muniz .",8569,134,"['fitfully', 'amusing', 'romp', 'that', 'nothing', 'else', 'will', 'appeal', 'fans', 'malcolm', 'the', 'middle', 'and', 'its', 'pubescent', 'star', 'frankie', 'muniz']","Counter({'and': 1, 'star': 1, 'frankie': 1, 'romp': 1, 'that': 1, 'pubescent': 1, 'malcolm': 1, 'fitfully': 1, 'else': 1, 'will': 1, 'middle': 1, 'fans': 1, 'amusing': 1, 'nothing': 1, 'the': 1, 'appeal': 1, 'muniz': 1, 'its': 1})",18
25,If I Spy were funny -LRB- enough -RRB- or exciting -LRB- enough -RRB- then it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public .,8570,185,"['spy', 'were', 'funny', 'lrb', 'enough', 'rrb', 'exciting', 'lrb', 'enough', 'rrb', 'then', 'would', 'fairly', 'simple', 'forgive', 'the', 'financial', 'extortion', 'trying', 'reap', 'from', 'the', 'moviegoing', 'public']","Counter({'lrb': 2, 'rrb': 2, 'enough': 2, 'the': 2, 'spy': 1, 'financial': 1, 'would': 1, 'funny': 1, 'simple': 1, 'reap': 1, 'trying': 1, 'forgive': 1, 'moviegoing': 1, 'public': 1, 'then': 1, 'were': 1, 'from': 1, 'exciting': 1, 'fairly': 1, 'extortion': 1})",20
26,Borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,8571,101,"['borrows', 'from', 'many', 'literary', 'and', 'cinematic', 'sources', 'that', 'this', 'future', 'world', 'feels', 'absolutely', 'deja']","Counter({'and': 1, 'from': 1, 'that': 1, 'this': 1, 'many': 1, 'absolutely': 1, 'cinematic': 1, 'literary': 1, 'sources': 1, 'feels': 1, 'future': 1, 'borrows': 1, 'deja': 1, 'world': 1})",14
27,"Despite its title , Amy 's Orgasm is not a porno , though it is as tedious as one .",8572,83,"['despite', 'its', 'title', 'amy', 'orgasm', 'not', 'porno', 'though', 'tedious', 'one']","Counter({'tedious': 1, 'porno': 1, 'title': 1, 'though': 1, 'one': 1, 'amy': 1, 'orgasm': 1, 'despite': 1, 'not': 1, 'its': 1})",10
28,"That dogged good will of the parents and ` vain ' Jia 's defoliation of ego , make the film touching despite some doldrums .",8573,124,"['that', 'dogged', 'good', 'will', 'the', 'parents', 'and', 'vain', 'jia', 'defoliation', 'ego', 'make', 'the', 'film', 'touching', 'despite', 'some', 'doldrums']","Counter({'the': 2, 'and': 1, 'doldrums': 1, 'good': 1, 'dogged': 1, 'that': 1, 'vain': 1, 'jia': 1, 'some': 1, 'will': 1, 'touching': 1, 'parents': 1, 'despite': 1, 'ego': 1, 'defoliation': 1, 'make': 1, 'film': 1})",17
29,Imagine a really bad community theater production of West Side Story without the songs .,8574,88,"['imagine', 'really', 'bad', 'community', 'theater', 'production', 'west', 'side', 'story', 'without', 'the', 'songs']","Counter({'story': 1, 'theater': 1, 'west': 1, 'community': 1, 'without': 1, 'bad': 1, 'production': 1, 'imagine': 1, 'the': 1, 'songs': 1, 'side': 1, 'really': 1})",12
30,"It 's an old story , but a lively script , sharp acting and partially animated interludes make Just a Kiss seem minty fresh .",8575,125,"['old', 'story', 'but', 'lively', 'script', 'sharp', 'acting', 'and', 'partially', 'animated', 'interludes', 'make', 'just', 'kiss', 'seem', 'minty', 'fresh']","Counter({'and': 1, 'story': 1, 'old': 1, 'just': 1, 'script': 1, 'make': 1, 'interludes': 1, 'but': 1, 'acting': 1, 'minty': 1, 'lively': 1, 'kiss': 1, 'fresh': 1, 'sharp': 1, 'seem': 1, 'animated': 1, 'partially': 1})",17
31,"The most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take .",8576,135,"['the', 'most', 'hopelessly', 'monotonous', 'film', 'the', 'year', 'noteworthy', 'only', 'for', 'the', 'gimmick', 'being', 'filmed', 'single', 'unbroken', '87minute', 'take']","Counter({'the': 3, 'hopelessly': 1, 'filmed': 1, 'monotonous': 1, 'for': 1, 'noteworthy': 1, 'being': 1, 'single': 1, 'most': 1, 'only': 1, '87minute': 1, 'unbroken': 1, 'year': 1, 'gimmick': 1, 'film': 1, 'take': 1})",16
32,"Prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , Jagger obviously relishes every self-mocking moment .",8577,154,"['prancing', 'his', 'way', 'through', 'the', 'tailormade', 'part', 'male', 'hooker', 'approaching', 'the', 'end', 'his', 'vitality', 'jagger', 'obviously', 'relishes', 'every', 'selfmocking', 'moment']","Counter({'his': 2, 'the': 2, 'end': 1, 'prancing': 1, 'relishes': 1, 'tailormade': 1, 'vitality': 1, 'obviously': 1, 'moment': 1, 'part': 1, 'through': 1, 'jagger': 1, 'way': 1, 'selfmocking': 1, 'every': 1, 'male': 1, 'hooker': 1, 'approaching': 1})",18
33,"A distant , even sterile , yet compulsively watchable look at the sordid life of Hogan 's Heroes star Bob Crane .",8578,113,"['distant', 'even', 'sterile', 'yet', 'compulsively', 'watchable', 'look', 'the', 'sordid', 'life', 'hogan', 'heroes', 'star', 'bob', 'crane']","Counter({'even': 1, 'life': 1, 'star': 1, 'look': 1, 'heroes': 1, 'crane': 1, 'sordid': 1, 'bob': 1, 'distant': 1, 'compulsively': 1, 'watchable': 1, 'the': 1, 'sterile': 1, 'yet': 1, 'hogan': 1})",15
34,Creepy but ultimately unsatisfying thriller .,8579,45,"['creepy', 'but', 'ultimately', 'unsatisfying', 'thriller']","Counter({'thriller': 1, 'ultimately': 1, 'unsatisfying': 1, 'but': 1, 'creepy': 1})",5
35,I just did n't care as much for the story .,8580,43,"['just', 'did', 'care', 'much', 'for', 'the', 'story']","Counter({'story': 1, 'just': 1, 'for': 1, 'did': 1, 'much': 1, 'the': 1, 'care': 1})",7
36,"Extreme Oops - oops , ops , no matter how you spell it , it 's still a mistake to go see it .",8581,93,"['extreme', 'oops', 'oops', 'ops', 'matter', 'how', 'you', 'spell', 'still', 'mistake', 'see']","Counter({'oops': 2, 'ops': 1, 'spell': 1, 'matter': 1, 'see': 1, 'mistake': 1, 'how': 1, 'you': 1, 'still': 1, 'extreme': 1})",10
37,What Jackson has accomplished here is amazing on a technical level .,8582,68,"['what', 'jackson', 'has', 'accomplished', 'here', 'amazing', 'technical', 'level']","Counter({'what': 1, 'jackson': 1, 'level': 1, 'technical': 1, 'amazing': 1, 'here': 1, 'accomplished': 1, 'has': 1})",8
38,"If you 've ever entertained the notion of doing what the title of this film implies , what Sex With Strangers actually shows may put you off the idea forever .",8583,159,"['you', 'ever', 'entertained', 'the', 'notion', 'doing', 'what', 'the', 'title', 'this', 'film', 'implies', 'what', 'sex', 'with', 'strangers', 'actually', 'shows', 'may', 'put', 'you', 'off', 'the', 'idea', 'forever']","Counter({'the': 3, 'what': 2, 'you': 2, 'idea': 1, 'forever': 1, 'implies': 1, 'title': 1, 'doing': 1, 'with': 1, 'off': 1, 'entertained': 1, 'notion': 1, 'strangers': 1, 'this': 1, 'may': 1, 'put': 1, 'actually': 1, 'sex': 1, 'ever': 1, 'film': 1, 'shows': 1})",21
39,A pleasant romantic comedy .,8584,28,"['pleasant', 'romantic', 'comedy']","Counter({'pleasant': 1, 'comedy': 1, 'romantic': 1})",3
40,A movie that tries to fuse the two ` woods ' but winds up a Bolly-Holly masala mess .,8585,85,"['movie', 'that', 'tries', 'fuse', 'the', 'two', 'woods', 'but', 'winds', 'bollyholly', 'masala', 'mess']","Counter({'woods': 1, 'that': 1, 'mess': 1, 'movie': 1, 'two': 1, 'but': 1, 'tries': 1, 'fuse': 1, 'winds': 1, 'masala': 1, 'the': 1, 'bollyholly': 1})",12
41,"Though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .",8586,217,"['though', 'particular', 'interest', 'students', 'and', 'enthusiast', 'international', 'dance', 'and', 'world', 'music', 'the', 'film', 'designed', 'make', 'viewers', 'all', 'ages', 'cultural', 'backgrounds', 'and', 'rhythmic', 'ability', 'want', 'get', 'and', 'dance']","Counter({'and': 4, 'dance': 2, 'all': 1, 'ages': 1, 'want': 1, 'film': 1, 'enthusiast': 1, 'make': 1, 'get': 1, 'music': 1, 'interest': 1, 'international': 1, 'rhythmic': 1, 'ability': 1, 'though': 1, 'students': 1, 'cultural': 1, 'designed': 1, 'particular': 1, 'world': 1, 'viewers': 1, 'backgrounds': 1, 'the': 1})",23
42,"Though only 60 minutes long , the film is packed with information and impressions .",8587,83,"['though', 'only', 'minutes', 'long', 'the', 'film', 'packed', 'with', 'information', 'and', 'impressions']","Counter({'and': 1, 'information': 1, 'though': 1, 'with': 1, 'long': 1, 'only': 1, 'packed': 1, 'impressions': 1, 'the': 1, 'minutes': 1, 'film': 1})",11
43,is n't so much bad as it is bland .,8588,35,"['much', 'bad', 'bland']","Counter({'bland': 1, 'bad': 1, 'much': 1})",3
44,There 's a disturbing ` Great White Hope ' undertone to The Other Side of Heaven that subtly undermines its message of Christian love and compassion .,8589,150,"['there', 'disturbing', 'great', 'white', 'hope', 'undertone', 'the', 'other', 'side', 'heaven', 'that', 'subtly', 'undermines', 'its', 'message', 'christian', 'love', 'and', 'compassion']","Counter({'and': 1, 'great': 1, 'heaven': 1, 'christian': 1, 'subtly': 1, 'love': 1, 'that': 1, 'compassion': 1, 'message': 1, 'there': 1, 'side': 1, 'other': 1, 'undertone': 1, 'its': 1, 'disturbing': 1, 'white': 1, 'undermines': 1, 'the': 1, 'hope': 1})",19
45,"Watching Scarlet Diva , one is poised for titillation , raw insight or both .",8590,77,"['watching', 'scarlet', 'diva', 'one', 'poised', 'for', 'titillation', 'raw', 'insight', 'both']","Counter({'raw': 1, 'both': 1, 'for': 1, 'watching': 1, 'insight': 1, 'diva': 1, 'one': 1, 'scarlet': 1, 'titillation': 1, 'poised': 1})",10
46,"Prurient playthings aside , there 's little to love about this English trifle .",8591,79,"['prurient', 'playthings', 'aside', 'there', 'little', 'love', 'about', 'this', 'english', 'trifle']","Counter({'trifle': 1, 'little': 1, 'love': 1, 'english': 1, 'this': 1, 'there': 1, 'aside': 1, 'prurient': 1, 'about': 1, 'playthings': 1})",10
47,"If you believe any of this , I can make you a real deal on leftover Enron stock that will double in value a week from Friday .",8592,126,"['you', 'believe', 'any', 'this', 'can', 'make', 'you', 'real', 'deal', 'leftover', 'enron', 'stock', 'that', 'will', 'double', 'value', 'week', 'from', 'friday']","Counter({'you': 2, 'real': 1, 'week': 1, 'from': 1, 'deal': 1, 'that': 1, 'this': 1, 'double': 1, 'make': 1, 'friday': 1, 'value': 1, 'will': 1, 'can': 1, 'leftover': 1, 'believe': 1, 'stock': 1, 'any': 1, 'enron': 1})",18
48,It 's basically an overlong episode of Tales from the Crypt .,8593,61,"['basically', 'overlong', 'episode', 'tales', 'from', 'the', 'crypt']","Counter({'episode': 1, 'from': 1, 'crypt': 1, 'tales': 1, 'basically': 1, 'overlong': 1, 'the': 1})",7
49,"And when you 're talking about a slapstick comedy , that 's a pretty big problem .",8594,82,"['and', 'when', 'you', 'talking', 'about', 'slapstick', 'comedy', 'that', 'pretty', 'big', 'problem']","Counter({'and': 1, 'about': 1, 'comedy': 1, 'that': 1, 'big': 1, 'when': 1, 'talking': 1, 'pretty': 1, 'you': 1, 'slapstick': 1, 'problem': 1})",11
50,"For close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .",8595,158,"['for', 'close', 'two', 'hours', 'the', 'audience', 'forced', 'endure', 'three', 'terminally', 'depressed', 'mostly', 'inarticulate', 'hyper', 'dysfunctional', 'families', 'for', 'the', 'price', 'one']","Counter({'for': 2, 'the': 2, 'forced': 1, 'hyper': 1, 'families': 1, 'mostly': 1, 'depressed': 1, 'price': 1, 'two': 1, 'three': 1, 'hours': 1, 'inarticulate': 1, 'audience': 1, 'endure': 1, 'dysfunctional': 1, 'close': 1, 'one': 1, 'terminally': 1})",18
51,A wildly funny prison caper .,8596,29,"['wildly', 'funny', 'prison', 'caper']","Counter({'caper': 1, 'funny': 1, 'prison': 1, 'wildly': 1})",4
52,"Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .",8597,166,"['nine', 'queens', 'not', 'only', 'than', 'frighteningly', 'capable', 'debut', 'and', 'genre', 'piece', 'but', 'also', 'snapshot', 'dangerous', 'political', 'situation', 'the', 'verge', 'coming', 'head']","Counter({'and': 1, 'also': 1, 'head': 1, 'coming': 1, 'capable': 1, 'dangerous': 1, 'debut': 1, 'political': 1, 'but': 1, 'frighteningly': 1, 'genre': 1, 'only': 1, 'nine': 1, 'verge': 1, 'situation': 1, 'not': 1, 'snapshot': 1, 'the': 1, 'piece': 1, 'than': 1, 'queens': 1})",21
53,The movie exists for its soccer action and its fine acting .,8598,60,"['the', 'movie', 'exists', 'for', 'its', 'soccer', 'action', 'and', 'its', 'fine', 'acting']","Counter({'its': 2, 'and': 1, 'exists': 1, 'for': 1, 'movie': 1, 'acting': 1, 'action': 1, 'the': 1, 'soccer': 1, 'fine': 1})",10
54,There 's not enough here to justify the almost two hours .,8599,58,"['there', 'not', 'enough', 'here', 'justify', 'the', 'almost', 'two', 'hours']","Counter({'almost': 1, 'there': 1, 'two': 1, 'here': 1, 'hours': 1, 'enough': 1, 'not': 1, 'the': 1, 'justify': 1})",9
55,Kinnear gives a tremendous performance .,8600,40,"['kinnear', 'gives', 'tremendous', 'performance']","Counter({'tremendous': 1, 'performance': 1, 'kinnear': 1, 'gives': 1})",4
56,This is one for the ages .,8601,26,"['this', 'one', 'for', 'the', 'ages']","Counter({'this': 1, 'the': 1, 'ages': 1, 'for': 1, 'one': 1})",5
57,"The special effects and many scenes of weightlessness look as good or better than in the original , while the Oscar-winning sound and James Horner 's rousing score make good use of the hefty audio system .",8602,205,"['the', 'special', 'effects', 'and', 'many', 'scenes', 'weightlessness', 'look', 'good', 'better', 'than', 'the', 'original', 'while', 'the', 'oscarwinning', 'sound', 'and', 'james', 'horner', 'rousing', 'score', 'make', 'good', 'use', 'the', 'hefty', 'audio', 'system']","Counter({'the': 4, 'and': 2, 'good': 2, 'special': 1, 'use': 1, 'rousing': 1, 'make': 1, 'system': 1, 'better': 1, 'score': 1, 'weightlessness': 1, 'oscarwinning': 1, 'hefty': 1, 'effects': 1, 'than': 1, 'sound': 1, 'look': 1, 'many': 1, 'scenes': 1, 'while': 1, 'james': 1, 'horner': 1, 'audio': 1, 'original': 1})",24
58,George Clooney proves he 's quite a talented director and Sam Rockwell shows us he 's a world-class actor with Confessions of a Dangerous Mind .,8603,144,"['george', 'clooney', 'proves', 'quite', 'talented', 'director', 'and', 'sam', 'rockwell', 'shows', 'worldclass', 'actor', 'with', 'confessions', 'dangerous', 'mind']","Counter({'and': 1, 'talented': 1, 'sam': 1, 'rockwell': 1, 'dangerous': 1, 'mind': 1, 'worldclass': 1, 'quite': 1, 'director': 1, 'proves': 1, 'actor': 1, 'clooney': 1, 'confessions': 1, 'with': 1, 'george': 1, 'shows': 1})",16
